1/8/2015 12:01:33 AM 42012.00108 8111.00 3.80 1166.00 44.41 39.64 101.34 28.64 0.00 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:01:34 AM 42012.00110 8111.00 3.04 1167.00 44.41 39.73 101.34 28.58 0.04 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:01:35 AM 42012.00111 8111.00 3.42 1161.00 44.45 39.68 101.34 28.64 0.04 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:01:37 AM 42012.00112 8111.00 3.04 1163.00 44.50 39.55 101.34 28.71 0.00 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:01:38 AM 42012.00114 8111.00 2.28 1164.00 44.41 39.64 101.34 28.66 -0.02 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:01:39 AM 42012.00115 8111.00 3.80 1164.00 44.41 39.73 101.34 28.68 0.04 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:01:40 AM 42012.00117 8111.00 2.28 1163.00 44.41 39.55 101.34 28.66 0.05 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:01:41 AM 42012.00118 8111.00 3.80 1167.00 44.41 39.55 101.34 28.64 0.05 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:01:43 AM 42012.00119 8111.00 3.80 1167.00 44.41 39.64 101.34 28.74 0.06 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:01:44 AM 42012.00121 8111.00 3.04 1167.00 44.41 39.64 101.34 28.74 0.05 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:01:45 AM 42012.00122 8111.00 3.04 1164.00 44.50 39.60 101.34 28.74 0.01 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:01:46 AM 42012.00124 8111.00 3.04 1164.00 44.41 39.55 101.34 28.74 0.05 -1  1 1 1 1 1 
1/8/2015 12:01:47 AM 42012.00125 8111.00 3.80 1167.00 44.32 39.73 101.34 28.68 0.04 -1  1 1 1 1 1 
1/8/2015 12:01:49 AM 42012.00126 8111.00 3.04 1161.00 44.32 39.60 101.34 28.71 0.03 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:01:50 AM 42012.00128 8111.00 3.04 1162.00 44.41 39.64 101.34 28.63 0.05 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:01:51 AM 42012.00129 8111.00 2.28 1164.00 44.41 39.81 101.34 28.64 0.02 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:01:52 AM 42012.00131 8111.00 3.42 1167.00 44.45 39.64 101.34 28.66 0.01 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:01:53 AM 42012.00132 8111.00 3.04 1168.00 44.41 39.64 101.34 28.71 0.00 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:01:55 AM 42012.00133 8111.00 3.04 1163.00 44.41 39.68 101.34 28.74 0.06 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:01:56 AM 42012.00135 8111.00 3.04 1167.00 44.58 39.64 101.34 28.64 0.04 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:01:57 AM 42012.00136 8111.00 3.04 1167.00 44.41 39.68 101.34 28.72 0.01 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:01:58 AM 42012.00138 8111.00 3.80 1167.00 44.50 39.64 101.34 28.68 0.06 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:02:00 AM 42012.00139 8111.00 3.80 1167.00 44.36 39.64 101.34 28.64 0.05 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:02:01 AM 42012.00140 8111.00 3.04 1167.00 44.41 39.81 101.34 28.68 0.05 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:02:02 AM 42012.00142 8111.00 3.04 1168.00 44.54 39.55 101.34 28.61 0.04 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:02:03 AM 42012.00143 8111.00 3.04 1166.00 44.41 39.81 101.34 28.71 0.02 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:02:04 AM 42012.00145 8111.00 2.66 1167.00 44.32 39.68 101.34 28.74 0.01 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:02:06 AM 42012.00146 8111.00 3.80 1167.00 44.50 39.64 101.34 28.61 0.05 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:02:07 AM 42012.00147 8111.00 3.04 1168.00 44.50 39.68 101.34 28.66 0.01 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:02:08 AM 42012.00149 8111.00 2.28 1165.00 44.41 39.64 101.34 28.61 0.03 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:02:09 AM 42012.00150 8111.00 3.04 1164.00 44.45 39.60 101.34 28.74 0.04 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:02:10 AM 42012.00152 8111.00 3.04 1166.00 44.41 39.81 101.34 28.61 0.02 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:02:12 AM 42012.00153 8111.00 3.80 1162.00 44.45 39.64 101.34 28.61 0.02 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:02:13 AM 42012.00154 8111.00 3.04 1162.00 44.58 39.64 101.34 28.71 0.05 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:02:14 AM 42012.00156 8111.00 3.04 1167.00 44.58 39.55 101.34 28.74 0.02 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:02:15 AM 42012.00157 8111.00 2.28 1164.00 44.32 39.64 101.34 28.68 0.04 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:02:16 AM 42012.00158 8111.00 3.80 1167.00 44.58 39.64 101.34 28.61 0.03 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:02:18 AM 42012.00160 8111.00 3.80 1160.00 44.45 39.55 101.34 28.72 0.01 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:02:19 AM 42012.00161 8111.00 3.80 1166.00 44.50 39.73 101.34 28.64 0.05 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:02:20 AM 42012.00163 8111.00 3.04 1167.00 44.50 39.68 101.34 28.66 0.03 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:02:21 AM 42012.00164 8111.00 3.80 1163.00 44.32 39.64 101.34 28.64 0.00 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:02:22 AM 42012.00165 8111.00 3.80 1165.00 44.50 39.68 101.34 28.72 0.01 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:02:24 AM 42012.00167 8111.00 3.80 1167.00 44.41 39.81 101.34 28.68 -0.01 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:02:25 AM 42012.00168 8111.00 2.28 1164.00 44.54 39.86 101.34 28.74 0.02 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:02:26 AM 42012.00170 8111.00 2.28 1161.00 44.50 39.64 101.34 28.74 0.00 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:02:27 AM 42012.00171 8111.00 3.04 1167.00 44.45 39.68 101.34 28.75 0.02 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:02:29 AM 42012.00172 8111.00 3.04 1162.00 44.41 39.55 101.34 28.68 0.00 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:02:30 AM 42012.00174 8111.00 3.80 1168.00 44.45 39.77 101.34 28.68 0.00 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:02:31 AM 42012.00175 8111.00 3.80 1164.00 44.41 39.81 101.34 28.74 0.01 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:02:32 AM 42012.00177 8111.00 3.80 1163.50 44.58 39.64 101.34 28.77 0.01 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:02:33 AM 42012.00178 8111.00 2.28 1161.00 44.58 39.73 101.34 28.74 0.00 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:02:35 AM 42012.00179 8111.00 3.04 1167.00 44.41 39.64 101.34 28.68 0.02 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:02:36 AM 42012.00181 8111.00 3.04 1168.00 44.41 39.73 101.34 28.68 0.04 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:02:37 AM 42012.00182 8111.00 3.80 1166.00 44.41 39.77 101.34 28.61 0.02 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:02:38 AM 42012.00184 8111.00 2.28 1165.00 44.41 39.64 101.34 28.58 0.02 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:02:39 AM 42012.00185 8111.00 3.04 1163.00 44.54 39.68 101.34 28.71 0.01 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:02:41 AM 42012.00186 8111.00 3.04 1164.00 44.41 39.64 101.34 28.64 0.01 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:02:42 AM 42012.00188 8111.00 3.04 1167.00 44.54 39.64 101.34 28.71 0.00 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:02:43 AM 42012.00189 8111.00 2.28 1164.00 44.41 39.64 101.34 28.61 0.02 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:02:44 AM 42012.00191 8111.00 3.80 1166.00 44.32 39.68 101.34 28.71 0.01 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:02:45 AM 42012.00192 8111.00 3.04 1164.00 44.50 39.73 101.34 28.64 0.03 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:02:47 AM 42012.00193 8111.00 2.28 1167.00 44.45 39.60 101.34 28.75 0.02 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:02:48 AM 42012.00195 8111.00 3.80 1163.00 44.32 39.73 101.34 28.71 0.01 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:02:49 AM 42012.00196 8111.00 3.80 1167.00 44.54 39.64 101.34 28.74 0.02 -1  1 1 1 1 1 
1/8/2015 12:02:50 AM 42012.00198 8111.00 3.80 1163.00 44.32 39.81 101.34 28.64 0.00 -1  1 1 1 1 1 
1/8/2015 12:02:51 AM 42012.00199 8111.00 2.28 1166.00 44.41 39.64 101.34 28.74 0.05 22 TotalConcMeas 1 1 1 1 1 
