26.11.2014 19:53:27  41969,82879 0,00 9 ZeroDelayStart
26.11.2014 19:53:29  41969,82881 0,00 9 ZeroDelayStart
26.11.2014 19:53:31  41969,82883 0,00 9 ZeroDelayStart
26.11.2014 19:53:33  41969,82886 0,00 9 ZeroDelayStart
26.11.2014 19:53:35  41969,82888 0,00 9 ZeroDelayStart
26.11.2014 19:53:37  41969,82890 0,00 9 ZeroDelayStart
26.11.2014 19:53:39  41969,82893 0,00 9 ZeroDelayStart
26.11.2014 19:53:41  41969,82895 0,00 9 ZeroDelayStart
26.11.2014 19:53:43  41969,82897 0,00 9 ZeroDelayStart
26.11.2014 19:53:45  41969,82900 0,00 9 ZeroDelayStart
26.11.2014 19:53:47  41969,82902 0,00 9 ZeroDelayStart
26.11.2014 19:53:49  41969,82904 0,00 9 ZeroDelayStart
26.11.2014 19:53:51  41969,82907 0,00 9 ZeroDelayStart
26.11.2014 19:53:53  41969,82909 0,00 9 ZeroDelayStart
26.11.2014 19:53:55  41969,82912 0,00 -1 
26.11.2014 19:54:00  41969,82917 0,00 11 ZeroDelay
26.11.2014 19:54:02  41969,82920 0,00 11 ZeroDelay
26.11.2014 19:54:04  41969,82922 0,00 11 ZeroDelay
26.11.2014 19:54:06  41969,82925 0,00 11 ZeroDelay
26.11.2014 19:54:08  41969,82927 0,00 11 ZeroDelay
26.11.2014 19:54:10  41969,82929 0,00 11 ZeroDelay
26.11.2014 19:54:12  41969,82932 0,00 11 ZeroDelay
26.11.2014 19:54:14  41969,82934 0,00 11 ZeroDelay
26.11.2014 19:54:17  41969,82936 0,00 11 ZeroDelay
26.11.2014 19:54:19  41969,82939 0,00 -1 
26.11.2014 19:54:22  41969,82942 0,00 12 ZeroLevel
26.11.2014 19:54:24  41969,82945 0,00 12 ZeroLevel
26.11.2014 19:54:26  41969,82947 0,00 12 ZeroLevel
26.11.2014 19:54:28  41969,82949 0,00 12 ZeroLevel
26.11.2014 19:54:30  41969,82952 0,00 12 ZeroLevel
26.11.2014 19:54:32  41969,82954 0,00 12 ZeroLevel
