03.10.2014 18:46:43           
03.10.2014 18:47:31  41915,78301 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,11 0 StartBlockReset 1 0,00
03.10.2014 18:47:32  41915,78302 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,11 0 StartBlockReset 1 0,00
03.10.2014 18:47:35  41915,78304 0 0,0 0 0,00 0,00 0,00 0,000 0 0 0,00 -1  1 0,00
03.10.2014 18:47:36  41915,78306 16040 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,72 33 CellOff 1 0,00
03.10.2014 18:47:37  41915,78307 16043 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,22 33 CellOff 1 0,00
03.10.2014 18:47:38  41915,78308 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,11 33 CellOff 1 0,00
03.10.2014 18:47:39  41915,78309 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,00 33 CellOff 1 0,00
03.10.2014 18:47:40  41915,78310 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,00 33 CellOff 1 0,00
03.10.2014 18:47:41  41915,78312 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,16 33 CellOff 1 0,00
03.10.2014 18:47:42  41915,78313 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,00 33 CellOff 1 0,00
03.10.2014 18:47:43  41915,78314 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,11 -1  1 0,00
03.10.2014 18:47:45  41915,78317 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,11 -1  1 0,00
03.10.2014 18:47:46  41915,78318 16043 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,22 0 StartBlockReset 1 0,00
03.10.2014 18:47:47  41915,78319 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,00 0 StartBlockReset 1 0,00
03.10.2014 18:47:48  41915,78320 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,11 0 StartBlockReset 1 0,00
03.10.2014 18:47:49  41915,78322 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,11 0 StartBlockReset 1 0,00
03.10.2014 18:47:50  41915,78323 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,11 0 StartBlockReset 1 0,00
03.10.2014 18:47:51  41915,78324 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,00 0 StartBlockReset 1 0,00
03.10.2014 18:47:52  41915,78325 16041 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,22 0 StartBlockReset 1 0,00
03.10.2014 18:47:53  41915,78326 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,22 0 StartBlockReset 1 0,00
03.10.2014 18:47:54  41915,78327 16041 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,39 0 StartBlockReset 1 0,00
03.10.2014 18:47:55  41915,78329 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,00 0 StartBlockReset 1 0,00
03.10.2014 18:47:58  41915,78331 0 0,0 0 0,00 0,00 0,00 0,000 0 0 0,00 -1  1 0,00
03.10.2014 18:47:59  41915,78332 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,17 33 CellOff 1 0,00
03.10.2014 18:48:00  41915,78334 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,00 33 CellOff 1 0,00
03.10.2014 18:48:01  41915,78335 16041 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,12 33 CellOff 1 0,00
03.10.2014 18:48:02  41915,78336 16041 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,12 33 CellOff 1 0,00
03.10.2014 18:48:03  41915,78337 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,33 33 CellOff 1 0,00
03.10.2014 18:48:04  41915,78338 16041 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,22 33 CellOff 1 0,00
03.10.2014 18:48:05  41915,78339 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,17 33 CellOff 1 0,00
03.10.2014 18:48:06  41915,78341 16041 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,12 -1  1 0,00
03.10.2014 18:48:09  41915,78344 16039 2,6 4095 -273,15 -273,11 -660,07 0,000 1 1 -0,94 -1  1 0,00
03.10.2014 18:48:10  41915,78345 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,00 0 StartBlockReset 1 0,00
03.10.2014 18:48:11  41915,78346 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,05 0 StartBlockReset 1 0,00
03.10.2014 18:48:12  41915,78347 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,22 0 StartBlockReset 1 0,00
03.10.2014 18:48:13  41915,78349 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,11 0 StartBlockReset 1 0,00
03.10.2014 18:48:14  41915,78350 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,11 0 StartBlockReset 1 0,00
03.10.2014 18:48:15  41915,78351 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,06 0 StartBlockReset 1 0,00
03.10.2014 18:48:16  41915,78352 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,00 0 StartBlockReset 1 0,00
