01.11.2014 12:31:07  41944,52162 0,00 4 Test4
01.11.2014 12:31:09  41944,52164 0,00 4 Test4
01.11.2014 12:31:11  41944,52166 0,00 4 Test4
01.11.2014 12:31:13  41944,52169 0,00 4 Test4
01.11.2014 12:31:15  41944,52171 0,00 4 Test4
01.11.2014 12:31:17  41944,52174 0,00 4 Test4
01.11.2014 12:31:19  41944,52176 0,00 4 Test4
01.11.2014 12:31:22  41944,52178 0,00 4 Test4
01.11.2014 12:31:24  41944,52181 0,00 4 Test4
01.11.2014 12:31:26  41944,52183 0,00 4 Test4
01.11.2014 12:31:28  41944,52185 0,00 4 Test4
01.11.2014 12:31:30  41944,52188 0,00 4 Test4
01.11.2014 12:31:32  41944,52190 0,00 4 Test4
01.11.2014 12:31:34  41944,52193 0,00 4 Test4
01.11.2014 12:31:36  41944,52195 0,00 4 Test4
01.11.2014 12:31:38  41944,52197 0,00 4 Test4
01.11.2014 12:31:39  41944,52199 0,00 4 Test4
01.11.2014 12:31:41  41944,52201 0,00 4 Test4
01.11.2014 12:31:43  41944,52203 0,00 4 Test4
01.11.2014 12:31:45  41944,52206 0,00 4 Test4
01.11.2014 12:31:47  41944,52208 0,00 4 Test4
01.11.2014 12:31:49  41944,52211 0,00 4 Test4
01.11.2014 12:31:52  41944,52213 0,00 4 Test4
01.11.2014 12:31:54  41944,52216 0,00 4 Test4
01.11.2014 12:31:58  41944,52221 0,00 5 Test5
01.11.2014 12:32:00  41944,52223 0,00 5 Test5
01.11.2014 12:32:03  41944,52226 0,00 5 Test5
01.11.2014 12:32:05  41944,52228 0,00 5 Test5
01.11.2014 12:32:07  41944,52231 0,00 5 Test5
01.11.2014 12:32:09  41944,52233 0,00 5 Test5
01.11.2014 12:32:11  41944,52235 0,00 5 Test5
01.11.2014 12:32:13  41944,52238 0,00 5 Test5
01.11.2014 12:32:15  41944,52240 0,00 5 Test5
01.11.2014 12:32:17  41944,52243 0,00 5 Test5
01.11.2014 12:32:18  41944,52244 0,00 5 Test5
01.11.2014 12:32:20  41944,52246 0,00 5 Test5
01.11.2014 12:32:23  41944,52249 0,00 5 Test5
01.11.2014 12:32:25  41944,52251 0,00 5 Test5
01.11.2014 12:32:27  41944,52254 0,00 5 Test5
01.11.2014 12:32:29  41944,52256 0,00 5 Test5
01.11.2014 12:32:31  41944,52259 0,00 5 Test5
01.11.2014 12:32:33  41944,52261 0,00 5 Test5
01.11.2014 12:32:34  41944,52262 0,00 5 Test5
01.11.2014 12:32:36  41944,52265 0,00 5 Test5
01.11.2014 12:32:39  41944,52267 0,00 5 Test5
01.11.2014 12:32:41  41944,52270 0,00 5 Test5
01.11.2014 12:32:43  41944,52272 0,00 5 Test5
01.11.2014 12:32:47  41944,52278 0,00 9 ZeroDelayStart
01.11.2014 12:32:50  41944,52280 0,00 9 ZeroDelayStart
01.11.2014 12:32:52  41944,52283 0,00 9 ZeroDelayStart
01.11.2014 12:32:54  41944,52285 0,00 9 ZeroDelayStart
01.11.2014 12:32:56  41944,52287 0,00 9 ZeroDelayStart
01.11.2014 12:32:58  41944,52290 0,00 9 ZeroDelayStart
01.11.2014 12:32:59  41944,52291 0,00 9 ZeroDelayStart
01.11.2014 12:33:01  41944,52294 0,00 9 ZeroDelayStart
01.11.2014 12:33:03  41944,52296 0,00 9 ZeroDelayStart
01.11.2014 12:33:06  41944,52299 0,00 9 ZeroDelayStart
01.11.2014 12:33:08  41944,52301 0,00 9 ZeroDelayStart
01.11.2014 12:33:10  41944,52304 0,00 9 ZeroDelayStart
01.11.2014 12:33:12  41944,52306 0,00 9 ZeroDelayStart
01.11.2014 12:33:14  41944,52308 0,00 9 ZeroDelayStart
01.11.2014 12:33:15  41944,52310 0,00 9 ZeroDelayStart
01.11.2014 12:33:17  41944,52312 0,00 9 ZeroDelayStart
01.11.2014 12:33:19  41944,52314 0,00 9 ZeroDelayStart
01.11.2014 12:33:21  41944,52317 0,00 9 ZeroDelayStart
01.11.2014 12:33:23  41944,52319 0,00 9 ZeroDelayStart
01.11.2014 12:33:25  41944,52322 0,00 9 ZeroDelayStart
01.11.2014 12:33:27  41944,52324 0,00 9 ZeroDelayStart
01.11.2014 12:33:29  41944,52326 0,00 9 ZeroDelayStart
01.11.2014 12:33:31  41944,52329 0,00 9 ZeroDelayStart
01.11.2014 12:33:34  41944,52331 0,00 9 ZeroDelayStart
01.11.2014 12:33:36  41944,52333 0,00 9 ZeroDelayStart
01.11.2014 12:33:38  41944,52336 0,00 9 ZeroDelayStart
01.11.2014 12:33:40  41944,52338 0,00 9 ZeroDelayStart
01.11.2014 12:33:42  41944,52341 0,00 9 ZeroDelayStart
01.11.2014 12:33:44  41944,52343 0,00 9 ZeroDelayStart
01.11.2014 12:33:46  41944,52345 0,00 9 ZeroDelayStart
01.11.2014 12:33:48  41944,52348 0,00 9 ZeroDelayStart
01.11.2014 12:33:50  41944,52350 0,00 9 ZeroDelayStart
01.11.2014 12:33:52  41944,52352 0,00 9 ZeroDelayStart
01.11.2014 12:33:53  41944,52354 0,00 9 ZeroDelayStart
01.11.2014 12:33:55  41944,52356 0,00 9 ZeroDelayStart
01.11.2014 12:33:57  41944,52358 0,00 9 ZeroDelayStart
01.11.2014 12:33:59  41944,52361 0,00 9 ZeroDelayStart
01.11.2014 12:34:01  41944,52363 0,00 9 ZeroDelayStart
01.11.2014 12:34:03  41944,52366 0,00 9 ZeroDelayStart
01.11.2014 12:34:05  41944,52368 0,00 9 ZeroDelayStart
01.11.2014 12:34:07  41944,52370 0,00 9 ZeroDelayStart
01.11.2014 12:34:09  41944,52373 0,00 9 ZeroDelayStart
01.11.2014 12:34:12  41944,52375 0,00 9 ZeroDelayStart
01.11.2014 12:34:14  41944,52377 0,00 9 ZeroDelayStart
01.11.2014 12:34:16  41944,52380 0,00 9 ZeroDelayStart
01.11.2014 12:34:18  41944,52382 0,00 9 ZeroDelayStart
01.11.2014 12:34:20  41944,52385 0,00 9 ZeroDelayStart
01.11.2014 12:34:22  41944,52387 0,00 9 ZeroDelayStart
01.11.2014 12:34:24  41944,52389 0,00 9 ZeroDelayStart
01.11.2014 12:34:26  41944,52392 0,00 9 ZeroDelayStart
01.11.2014 12:34:28  41944,52394 0,00 9 ZeroDelayStart
01.11.2014 12:34:30  41944,52396 0,00 9 ZeroDelayStart
01.11.2014 12:34:31  41944,52398 0,00 9 ZeroDelayStart
01.11.2014 12:34:33  41944,52400 0,00 9 ZeroDelayStart
01.11.2014 12:34:35  41944,52402 0,00 9 ZeroDelayStart
01.11.2014 12:34:37  41944,52405 0,00 9 ZeroDelayStart
01.11.2014 12:34:39  41944,52407 0,00 9 ZeroDelayStart
01.11.2014 12:34:41  41944,52410 0,00 9 ZeroDelayStart
01.11.2014 12:34:43  41944,52412 0,00 9 ZeroDelayStart
01.11.2014 12:34:45  41944,52414 0,00 9 ZeroDelayStart
01.11.2014 12:34:47  41944,52417 0,00 9 ZeroDelayStart
01.11.2014 12:34:50  41944,52419 0,00 9 ZeroDelayStart
01.11.2014 12:34:52  41944,52421 0,00 9 ZeroDelayStart
01.11.2014 12:34:54  41944,52424 0,00 9 ZeroDelayStart
01.11.2014 12:34:56  41944,52426 0,00 9 ZeroDelayStart
01.11.2014 12:34:58  41944,52428 0,00 9 ZeroDelayStart
01.11.2014 12:35:00  41944,52431 0,00 9 ZeroDelayStart
01.11.2014 12:35:02  41944,52433 0,00 9 ZeroDelayStart
01.11.2014 12:35:04  41944,52436 0,00 9 ZeroDelayStart
01.11.2014 12:35:06  41944,52438 0,00 9 ZeroDelayStart
01.11.2014 12:35:08  41944,52440 0,00 9 ZeroDelayStart
01.11.2014 12:35:10  41944,52443 0,00 9 ZeroDelayStart
01.11.2014 12:35:11  41944,52444 0,00 9 ZeroDelayStart
01.11.2014 12:35:13  41944,52446 0,00 9 ZeroDelayStart
01.11.2014 12:35:15  41944,52449 0,00 9 ZeroDelayStart
01.11.2014 12:35:17  41944,52451 0,00 9 ZeroDelayStart
01.11.2014 12:35:19  41944,52453 0,00 9 ZeroDelayStart
01.11.2014 12:35:21  41944,52456 0,00 9 ZeroDelayStart
01.11.2014 12:35:23  41944,52458 0,00 9 ZeroDelayStart
01.11.2014 12:35:25  41944,52461 0,00 9 ZeroDelayStart
01.11.2014 12:35:27  41944,52463 0,00 9 ZeroDelayStart
01.11.2014 12:35:30  41944,52465 0,00 9 ZeroDelayStart
01.11.2014 12:35:32  41944,52468 0,00 9 ZeroDelayStart
01.11.2014 12:35:34  41944,52470 0,00 9 ZeroDelayStart
01.11.2014 12:35:36  41944,52472 0,00 9 ZeroDelayStart
01.11.2014 12:35:38  41944,52475 0,00 9 ZeroDelayStart
01.11.2014 12:35:40  41944,52477 0,00 9 ZeroDelayStart
01.11.2014 12:35:42  41944,52480 0,00 9 ZeroDelayStart
01.11.2014 12:35:44  41944,52482 0,00 9 ZeroDelayStart
01.11.2014 12:35:46  41944,52484 0,00 9 ZeroDelayStart
01.11.2014 12:35:48  41944,52487 0,00 9 ZeroDelayStart
01.11.2014 12:35:50  41944,52489 0,00 9 ZeroDelayStart
01.11.2014 12:35:52  41944,52491 0,00 9 ZeroDelayStart
01.11.2014 12:35:53  41944,52493 0,00 9 ZeroDelayStart
01.11.2014 12:35:55  41944,52495 0,00 9 ZeroDelayStart
01.11.2014 12:35:57  41944,52497 0,00 9 ZeroDelayStart
01.11.2014 12:35:59  41944,52500 0,00 9 ZeroDelayStart
01.11.2014 12:36:01  41944,52502 0,00 9 ZeroDelayStart
01.11.2014 12:36:03  41944,52504 0,00 9 ZeroDelayStart
01.11.2014 12:36:05  41944,52507 0,00 9 ZeroDelayStart
01.11.2014 12:36:07  41944,52509 0,00 9 ZeroDelayStart
01.11.2014 12:36:10  41944,52512 0,00 9 ZeroDelayStart
01.11.2014 12:36:12  41944,52514 0,00 9 ZeroDelayStart
01.11.2014 12:36:14  41944,52516 0,00 9 ZeroDelayStart
01.11.2014 12:36:16  41944,52519 0,00 9 ZeroDelayStart
01.11.2014 12:36:18  41944,52521 0,00 9 ZeroDelayStart
01.11.2014 12:36:20  41944,52523 0,00 9 ZeroDelayStart
01.11.2014 12:36:22  41944,52526 0,00 9 ZeroDelayStart
01.11.2014 12:36:24  41944,52528 0,00 9 ZeroDelayStart
01.11.2014 12:36:26  41944,52531 0,00 9 ZeroDelayStart
01.11.2014 12:36:28  41944,52533 0,00 9 ZeroDelayStart
01.11.2014 12:36:29  41944,52534 0,00 9 ZeroDelayStart
01.11.2014 12:36:31  41944,52537 0,00 9 ZeroDelayStart
01.11.2014 12:36:33  41944,52539 0,00 9 ZeroDelayStart
01.11.2014 12:36:35  41944,52541 0,00 9 ZeroDelayStart
01.11.2014 12:36:37  41944,52544 0,00 9 ZeroDelayStart
01.11.2014 12:36:39  41944,52546 0,00 9 ZeroDelayStart
01.11.2014 12:36:41  41944,52548 0,00 9 ZeroDelayStart
01.11.2014 12:36:43  41944,52551 0,00 9 ZeroDelayStart
01.11.2014 12:36:45  41944,52553 0,00 9 ZeroDelayStart
01.11.2014 12:36:47  41944,52556 0,00 9 ZeroDelayStart
01.11.2014 12:36:50  41944,52558 0,00 9 ZeroDelayStart
01.11.2014 12:36:52  41944,52560 0,00 9 ZeroDelayStart
01.11.2014 12:36:54  41944,52563 0,00 9 ZeroDelayStart
01.11.2014 12:36:56  41944,52565 0,00 9 ZeroDelayStart
01.11.2014 12:36:58  41944,52567 0,00 9 ZeroDelayStart
01.11.2014 12:37:00  41944,52570 0,00 9 ZeroDelayStart
01.11.2014 12:37:02  41944,52572 0,00 9 ZeroDelayStart
01.11.2014 12:37:04  41944,52574 0,00 9 ZeroDelayStart
01.11.2014 12:37:06  41944,52577 0,00 9 ZeroDelayStart
01.11.2014 12:37:08  41944,52579 0,00 9 ZeroDelayStart
01.11.2014 12:37:10  41944,52582 0,00 9 ZeroDelayStart
01.11.2014 12:37:11  41944,52583 0,00 9 ZeroDelayStart
01.11.2014 12:37:13  41944,52585 0,00 9 ZeroDelayStart
01.11.2014 12:37:15  41944,52588 0,00 9 ZeroDelayStart
01.11.2014 12:37:17  41944,52590 0,00 9 ZeroDelayStart
01.11.2014 12:37:19  41944,52592 0,00 9 ZeroDelayStart
01.11.2014 12:37:21  41944,52595 0,00 9 ZeroDelayStart
01.11.2014 12:37:23  41944,52597 0,00 9 ZeroDelayStart
01.11.2014 12:37:25  41944,52599 0,00 9 ZeroDelayStart
01.11.2014 12:37:27  41944,52602 0,00 9 ZeroDelayStart
01.11.2014 12:37:29  41944,52604 0,00 9 ZeroDelayStart
01.11.2014 12:37:32  41944,52607 0,00 9 ZeroDelayStart
01.11.2014 12:37:34  41944,52609 0,00 9 ZeroDelayStart
01.11.2014 12:37:36  41944,52611 0,00 9 ZeroDelayStart
01.11.2014 12:37:38  41944,52614 0,00 9 ZeroDelayStart
01.11.2014 12:37:40  41944,52616 0,00 9 ZeroDelayStart
01.11.2014 12:37:42  41944,52618 0,00 9 ZeroDelayStart
01.11.2014 12:37:44  41944,52621 0,00 9 ZeroDelayStart
01.11.2014 12:37:46  41944,52623 0,00 -1 
01.11.2014 12:37:51  41944,52629 0,00 11 ZeroDelay
01.11.2014 12:37:53  41944,52632 0,00 11 ZeroDelay
01.11.2014 12:37:55  41944,52634 0,00 11 ZeroDelay
01.11.2014 12:37:57  41944,52636 0,00 11 ZeroDelay
01.11.2014 12:37:59  41944,52639 0,00 11 ZeroDelay
01.11.2014 12:38:01  41944,52641 0,00 11 ZeroDelay
01.11.2014 12:38:03  41944,52643 0,00 11 ZeroDelay
01.11.2014 12:38:05  41944,52646 0,00 11 ZeroDelay
01.11.2014 12:38:08  41944,52648 0,00 11 ZeroDelay
01.11.2014 12:38:10  41944,52651 0,00 -1 
01.11.2014 12:38:13  41944,52654 0,00 12 ZeroLevel
01.11.2014 12:38:15  41944,52656 0,00 12 ZeroLevel
01.11.2014 12:38:17  41944,52659 0,00 12 ZeroLevel
01.11.2014 12:38:19  41944,52661 0,00 12 ZeroLevel
01.11.2014 12:38:21  41944,52664 0,00 12 ZeroLevel
01.11.2014 12:38:23  41944,52666 0,00 12 ZeroLevel
01.11.2014 12:38:25  41944,52668 0,00 12 ZeroLevel
01.11.2014 12:38:27  41944,52671 0,00 12 ZeroLevel
01.11.2014 12:38:29  41944,52673 0,00 12 ZeroLevel
01.11.2014 12:38:31  41944,52675 0,00 12 ZeroLevel
01.11.2014 12:38:33  41944,52678 0,00 12 ZeroLevel
01.11.2014 12:38:35  41944,52680 0,00 12 ZeroLevel
01.11.2014 12:38:37  41944,52683 0,00 12 ZeroLevel
01.11.2014 12:38:39  41944,52685 0,00 12 ZeroLevel
01.11.2014 12:38:41  41944,52687 0,00 -1 
01.11.2014 12:38:53  41944,52701 428,90 32 CellLevel
01.11.2014 12:38:55  41944,52703 428,90 32 CellLevel
01.11.2014 12:38:57  41944,52705 428,90 32 CellLevel
01.11.2014 12:38:59  41944,52708 428,90 32 CellLevel
01.11.2014 12:39:01  41944,52710 428,90 32 CellLevel
01.11.2014 12:39:03  41944,52713 428,90 32 CellLevel
01.11.2014 12:39:05  41944,52715 428,90 32 CellLevel
01.11.2014 12:39:07  41944,52717 428,90 32 CellLevel
01.11.2014 12:39:09  41944,52720 428,90 32 CellLevel
01.11.2014 12:39:25  41944,52738 0,00 11 ZeroDelay
01.11.2014 12:39:27  41944,52740 0,00 11 ZeroDelay
01.11.2014 12:39:29  41944,52743 0,00 11 ZeroDelay
