29.10.2014 21:41:10  41941,90359 0,00 9 ZeroDelayStart
29.10.2014 21:41:12  41941,90361 0,00 9 ZeroDelayStart
29.10.2014 21:41:14  41941,90364 0,00 9 ZeroDelayStart
29.10.2014 21:41:16  41941,90366 0,00 9 ZeroDelayStart
29.10.2014 21:41:18  41941,90368 0,00 9 ZeroDelayStart
29.10.2014 21:41:20  41941,90371 0,00 9 ZeroDelayStart
29.10.2014 21:41:22  41941,90373 0,00 9 ZeroDelayStart
29.10.2014 21:41:24  41941,90375 0,00 9 ZeroDelayStart
29.10.2014 21:41:26  41941,90378 0,00 9 ZeroDelayStart
29.10.2014 21:41:28  41941,90380 0,00 9 ZeroDelayStart
29.10.2014 21:41:30  41941,90383 0,00 9 ZeroDelayStart
29.10.2014 21:41:32  41941,90385 0,00 9 ZeroDelayStart
29.10.2014 21:41:34  41941,90387 0,00 9 ZeroDelayStart
29.10.2014 21:41:36  41941,90390 0,00 9 ZeroDelayStart
29.10.2014 21:41:38  41941,90392 0,00 9 ZeroDelayStart
29.10.2014 21:41:40  41941,90394 0,00 9 ZeroDelayStart
29.10.2014 21:41:42  41941,90396 0,00 9 ZeroDelayStart
29.10.2014 21:41:44  41941,90398 0,00 9 ZeroDelayStart
29.10.2014 21:41:46  41941,90401 0,00 9 ZeroDelayStart
29.10.2014 21:41:48  41941,90403 0,00 9 ZeroDelayStart
29.10.2014 21:41:50  41941,90406 0,00 9 ZeroDelayStart
29.10.2014 21:41:52  41941,90408 0,00 9 ZeroDelayStart
29.10.2014 21:41:54  41941,90410 0,00 9 ZeroDelayStart
29.10.2014 21:41:56  41941,90413 0,00 9 ZeroDelayStart
29.10.2014 21:41:58  41941,90415 0,00 9 ZeroDelayStart
29.10.2014 21:42:00  41941,90417 0,00 9 ZeroDelayStart
29.10.2014 21:42:02  41941,90420 0,00 9 ZeroDelayStart
29.10.2014 21:42:04  41941,90422 0,00 9 ZeroDelayStart
29.10.2014 21:42:06  41941,90425 0,00 9 ZeroDelayStart
29.10.2014 21:42:08  41941,90427 0,00 9 ZeroDelayStart
29.10.2014 21:42:10  41941,90429 0,00 9 ZeroDelayStart
29.10.2014 21:42:12  41941,90431 0,00 9 ZeroDelayStart
29.10.2014 21:42:14  41941,90433 0,00 9 ZeroDelayStart
