26.10.2014 22:55:30           
26.10.2014 22:55:35  41938,95527 7961 2,6 3841 30,18 30,28 776,48 0,000 1 0 -3755,01 -1  1 0,00
26.10.2014 22:55:42  41938,95536 7961 2,6 3841 30,18 30,28 776,48 0,000 1 0 -3755,01 -1  1 0,00
26.10.2014 22:55:44  41938,95537 7961 2,6 3841 30,18 30,28 776,48 0,000 1 0 0,00 -1  1 0,00
26.10.2014 22:55:45  41938,95538 7961 2,6 3841 30,18 30,28 776,48 0,000 1 0 0,00 33 CellOff 1 0,00
26.10.2014 22:55:46  41938,95540 7961 2,6 3841 30,18 30,28 776,48 0,000 1 0 0,00 33 CellOff 1 0,00
26.10.2014 22:55:47  41938,95541 7961 2,6 3841 30,18 30,28 776,48 0,000 1 0 0,00 33 CellOff 1 0,00
26.10.2014 22:55:48  41938,95542 7961 2,6 3841 30,18 30,28 776,48 0,000 1 0 0,00 33 CellOff 1 0,00
26.10.2014 22:55:49  41938,95543 7961 2,6 3841 30,18 30,28 776,48 0,000 1 0 0,00 33 CellOff 1 0,00
26.10.2014 22:55:50  41938,95544 7961 2,6 3841 30,18 30,28 776,48 0,000 1 0 0,00 33 CellOff 1 0,00
26.10.2014 22:55:51  41938,95546 7961 2,6 3841 30,18 30,28 776,48 0,000 1 0 0,00 33 CellOff 1 0,00
26.10.2014 22:55:52  41938,95547 7961 2,6 3841 30,18 30,28 776,48 0,000 1 0 0,00 -1  1 0,00
26.10.2014 22:55:53  41938,95548 7961 2,6 3841 30,18 30,28 776,48 0,000 1 0 0,00 -1  1 0,00
26.10.2014 22:55:54  41938,95549 7961 2,6 3841 30,18 30,28 776,48 0,000 1 0 0,00 -1  1 0,00
26.10.2014 22:55:55  41938,95551 7961 2,6 3841 30,18 30,28 776,48 0,000 1 0 0,00 -1  1 0,00
26.10.2014 22:55:56  41938,95552 7961 2,6 3841 30,18 30,28 776,48 0,000 1 0 0,00 4 Test4 1 0,00
26.10.2014 22:55:57  41938,95553 7961 2,6 3841 30,18 30,28 776,48 0,000 1 0 0,00 4 Test4 1 0,00
26.10.2014 22:55:58  41938,95554 7961 2,6 3841 30,18 30,28 776,48 0,000 1 0 0,00 4 Test4 1 0,00
26.10.2014 22:55:59  41938,95555 7961 2,6 3841 30,18 30,28 776,48 0,000 1 0 0,00 4 Test4 1 0,00
26.10.2014 22:56:00  41938,95557 7961 2,6 3841 30,18 30,28 776,48 0,000 1 0 0,00 4 Test4 1 0,00
26.10.2014 22:56:01  41938,95558 7961 2,6 3841 30,18 30,28 776,48 0,000 1 0 0,00 4 Test4 1 0,00
26.10.2014 22:56:02  41938,95559 7961 2,6 3841 30,18 30,28 776,48 0,000 1 0 0,00 4 Test4 1 0,00
26.10.2014 22:56:03  41938,95560 7961 2,6 3841 30,18 30,28 776,48 0,000 1 0 0,00 4 Test4 1 0,00
26.10.2014 22:56:04  41938,95561 7961 2,6 3841 30,18 30,28 776,48 0,000 1 0 0,00 4 Test4 1 0,00
26.10.2014 22:56:05  41938,95562 7961 2,6 3841 30,18 30,28 776,48 0,000 1 0 0,00 4 Test4 1 0,00
26.10.2014 22:56:07  41938,95564 7961 2,6 3841 30,18 30,28 776,48 0,000 1 0 0,00 4 Test4 1 0,00
26.10.2014 22:56:08  41938,95565 7961 2,6 3841 30,18 30,28 776,48 0,000 1 0 0,00 4 Test4 1 0,00
26.10.2014 22:56:09  41938,95566 7961 2,6 3841 30,18 30,28 776,48 0,000 1 0 0,00 4 Test4 1 0,00
26.10.2014 22:56:10  41938,95567 7961 2,6 3841 30,18 30,28 776,48 0,000 1 0 0,00 4 Test4 1 0,00
26.10.2014 22:56:11  41938,95568 7961 2,6 3841 30,18 30,28 776,48 0,000 1 0 0,00 4 Test4 1 0,00
26.10.2014 22:56:12  41938,95570 7961 2,6 3841 30,18 30,28 776,48 0,000 1 0 0,00 4 Test4 1 0,00
26.10.2014 22:56:13  41938,95571 7961 2,6 3841 30,18 30,28 776,48 0,000 1 0 0,00 4 Test4 1 0,00
26.10.2014 22:56:14  41938,95572 7961 2,6 3841 30,18 30,28 776,48 0,000 1 0 0,00 4 Test4 1 0,00
26.10.2014 22:56:15  41938,95573 7961 2,6 3841 30,18 30,28 776,48 0,000 1 0 0,00 4 Test4 1 0,00
