26.10.2014 22:55:57  41938,95553 0,00 4 Test4
26.10.2014 22:55:59  41938,95555 0,00 4 Test4
26.10.2014 22:56:01  41938,95558 0,00 4 Test4
26.10.2014 22:56:03  41938,95560 0,00 4 Test4
26.10.2014 22:56:05  41938,95562 0,00 4 Test4
26.10.2014 22:56:08  41938,95565 0,00 4 Test4
26.10.2014 22:56:10  41938,95567 0,00 4 Test4
26.10.2014 22:56:12  41938,95570 0,00 4 Test4
26.10.2014 22:56:14  41938,95572 0,00 4 Test4
26.10.2014 22:56:16  41938,95574 0,00 4 Test4
26.10.2014 22:56:18  41938,95577 0,00 4 Test4
26.10.2014 22:56:20  41938,95579 0,00 4 Test4
26.10.2014 22:56:22  41938,95582 0,00 4 Test4
26.10.2014 22:56:24  41938,95584 0,00 4 Test4
26.10.2014 22:56:26  41938,95586 0,00 4 Test4
26.10.2014 22:56:28  41938,95589 0,00 4 Test4
26.10.2014 22:56:30  41938,95591 0,00 4 Test4
26.10.2014 22:56:31  41938,95592 0,00 4 Test4
26.10.2014 22:56:33  41938,95595 0,00 4 Test4
26.10.2014 22:56:36  41938,95597 0,00 4 Test4
26.10.2014 22:56:38  41938,95600 0,00 4 Test4
26.10.2014 22:56:40  41938,95602 0,00 4 Test4
26.10.2014 22:56:42  41938,95605 0,00 4 Test4
26.10.2014 22:56:44  41938,95607 0,00 4 Test4
26.10.2014 22:56:46  41938,95609 0,00 4 Test4
26.10.2014 22:56:48  41938,95612 0,00 4 Test4
26.10.2014 22:56:50  41938,95614 0,00 4 Test4
26.10.2014 22:56:52  41938,95616 0,00 4 Test4
26.10.2014 22:56:54  41938,95619 0,00 4 Test4
26.10.2014 22:56:55  41938,95620 0,00 4 Test4
26.10.2014 22:56:57  41938,95622 0,00 4 Test4
26.10.2014 22:56:59  41938,95625 0,00 4 Test4
26.10.2014 22:57:01  41938,95627 0,00 4 Test4
26.10.2014 22:57:03  41938,95630 0,00 4 Test4
26.10.2014 22:57:05  41938,95632 0,00 4 Test4
26.10.2014 22:57:08  41938,95634 0,00 4 Test4
26.10.2014 22:57:10  41938,95637 0,00 4 Test4
26.10.2014 22:57:12  41938,95639 0,00 4 Test4
26.10.2014 22:57:14  41938,95641 0,00 4 Test4
26.10.2014 22:57:16  41938,95644 0,00 4 Test4
26.10.2014 22:57:18  41938,95646 0,00 4 Test4
26.10.2014 22:57:20  41938,95649 0,00 4 Test4
26.10.2014 22:57:22  41938,95651 0,00 4 Test4
26.10.2014 22:57:24  41938,95653 0,00 4 Test4
26.10.2014 22:57:26  41938,95656 0,00 4 Test4
26.10.2014 22:57:28  41938,95658 0,00 4 Test4
26.10.2014 22:57:29  41938,95659 0,00 4 Test4
26.10.2014 22:57:31  41938,95662 0,00 4 Test4
26.10.2014 23:55:56  41938,99718 0,00 4 Test4
26.10.2014 23:55:58  41938,99720 0,00 4 Test4
26.10.2014 23:56:00  41938,99723 0,00 4 Test4
26.10.2014 23:56:02  41938,99725 0,00 4 Test4
26.10.2014 23:56:04  41938,99727 0,00 4 Test4
26.10.2014 23:56:06  41938,99730 0,00 4 Test4
26.10.2014 23:56:08  41938,99732 0,00 4 Test4
26.10.2014 23:56:10  41938,99734 0,00 4 Test4
26.10.2014 23:56:12  41938,99737 0,00 4 Test4
26.10.2014 23:56:14  41938,99739 0,00 4 Test4
26.10.2014 23:56:16  41938,99742 0,00 4 Test4
26.10.2014 23:56:18  41938,99743 0,00 4 Test4
26.10.2014 23:56:20  41938,99746 0,00 4 Test4
26.10.2014 23:56:22  41938,99748 0,00 4 Test4
26.10.2014 23:56:24  41938,99751 0,00 4 Test4
26.10.2014 23:56:26  41938,99753 0,00 4 Test4
26.10.2014 23:56:29  41938,99756 0,00 4 Test4
26.10.2014 23:56:30  41938,99757 0,00 4 Test4
26.10.2014 23:56:32  41938,99759 0,00 4 Test4
26.10.2014 23:56:34  41938,99762 0,00 4 Test4
26.10.2014 23:56:36  41938,99764 0,00 4 Test4
26.10.2014 23:56:38  41938,99767 0,00 4 Test4
26.10.2014 23:56:40  41938,99769 0,00 4 Test4
26.10.2014 23:56:42  41938,99772 0,00 4 Test4
26.10.2014 23:56:44  41938,99774 0,00 4 Test4
26.10.2014 23:56:47  41938,99777 0,00 4 Test4
26.10.2014 23:56:48  41938,99778 0,00 4 Test4
26.10.2014 23:56:50  41938,99780 0,00 4 Test4
26.10.2014 23:56:52  41938,99783 0,00 4 Test4
26.10.2014 23:56:54  41938,99785 0,00 4 Test4
26.10.2014 23:56:56  41938,99788 0,00 4 Test4
26.10.2014 23:56:58  41938,99790 0,00 4 Test4
26.10.2014 23:57:00  41938,99792 0,00 4 Test4
26.10.2014 23:57:02  41938,99795 0,00 4 Test4
26.10.2014 23:57:04  41938,99797 0,00 4 Test4
26.10.2014 23:57:06  41938,99800 0,00 4 Test4
26.10.2014 23:57:08  41938,99802 0,00 4 Test4
26.10.2014 23:57:10  41938,99804 0,00 4 Test4
26.10.2014 23:57:13  41938,99807 0,00 4 Test4
26.10.2014 23:57:14  41938,99808 0,00 4 Test4
26.10.2014 23:57:16  41938,99810 0,00 4 Test4
26.10.2014 23:57:18  41938,99813 0,00 4 Test4
26.10.2014 23:57:20  41938,99815 0,00 4 Test4
26.10.2014 23:57:22  41938,99818 0,00 4 Test4
26.10.2014 23:57:24  41938,99820 0,00 4 Test4
26.10.2014 23:57:26  41938,99822 0,00 4 Test4
26.10.2014 23:57:28  41938,99825 0,00 4 Test4
26.10.2014 23:57:30  41938,99827 0,00 4 Test4
26.10.2014 23:57:32  41938,99829 0,00 4 Test4
26.10.2014 23:57:34  41938,99832 0,00 4 Test4
26.10.2014 23:57:36  41938,99834 0,00 4 Test4
26.10.2014 23:57:38  41938,99837 0,00 4 Test4
26.10.2014 23:57:40  41938,99839 0,00 4 Test4
26.10.2014 23:57:42  41938,99841 0,00 4 Test4
26.10.2014 23:57:45  41938,99844 0,00 4 Test4
26.10.2014 23:57:46  41938,99845 0,00 4 Test4
26.10.2014 23:57:48  41938,99847 0,00 4 Test4
26.10.2014 23:57:50  41938,99850 0,00 4 Test4
26.10.2014 23:57:52  41938,99852 0,00 4 Test4
26.10.2014 23:57:54  41938,99855 0,00 4 Test4
26.10.2014 23:57:56  41938,99857 0,00 4 Test4
26.10.2014 23:57:58  41938,99859 0,00 4 Test4
26.10.2014 23:58:00  41938,99862 0,00 4 Test4
26.10.2014 23:58:02  41938,99864 0,00 4 Test4
26.10.2014 23:58:04  41938,99866 0,00 4 Test4
26.10.2014 23:58:06  41938,99869 0,00 4 Test4
26.10.2014 23:58:08  41938,99871 0,00 4 Test4
26.10.2014 23:58:10  41938,99874 0,00 4 Test4
26.10.2014 23:58:12  41938,99876 0,00 4 Test4
26.10.2014 23:58:14  41938,99878 0,00 4 Test4
26.10.2014 23:58:16  41938,99881 0,00 4 Test4
26.10.2014 23:58:19  41938,99883 0,00 4 Test4
26.10.2014 23:58:20  41938,99884 0,00 4 Test4
26.10.2014 23:58:22  41938,99887 0,00 4 Test4
26.10.2014 23:58:24  41938,99889 0,00 4 Test4
26.10.2014 23:58:26  41938,99891 0,00 4 Test4
26.10.2014 23:58:28  41938,99894 0,00 4 Test4
26.10.2014 23:58:30  41938,99896 0,00 4 Test4
26.10.2014 23:58:32  41938,99899 0,00 4 Test4
26.10.2014 23:58:34  41938,99901 0,00 4 Test4
26.10.2014 23:58:36  41938,99903 0,00 4 Test4
26.10.2014 23:58:38  41938,99906 0,00 4 Test4
26.10.2014 23:58:40  41938,99908 0,00 4 Test4
26.10.2014 23:58:42  41938,99911 0,00 4 Test4
26.10.2014 23:58:44  41938,99913 0,00 4 Test4
26.10.2014 23:58:46  41938,99915 0,00 4 Test4
26.10.2014 23:58:48  41938,99918 0,00 4 Test4
26.10.2014 23:58:50  41938,99920 0,00 4 Test4
26.10.2014 23:58:53  41938,99923 0,00 4 Test4
26.10.2014 23:58:54  41938,99924 0,00 4 Test4
26.10.2014 23:58:56  41938,99926 0,00 4 Test4
26.10.2014 23:58:58  41938,99928 0,00 4 Test4
26.10.2014 23:59:00  41938,99931 0,00 4 Test4
26.10.2014 23:59:02  41938,99933 0,00 4 Test4
26.10.2014 23:59:04  41938,99936 0,00 4 Test4
26.10.2014 23:59:06  41938,99938 0,00 4 Test4
26.10.2014 23:59:08  41938,99940 0,00 4 Test4
26.10.2014 23:59:10  41938,99943 0,00 4 Test4
26.10.2014 23:59:12  41938,99945 0,00 4 Test4
26.10.2014 23:59:14  41938,99948 0,00 4 Test4
26.10.2014 23:59:16  41938,99950 0,00 4 Test4
26.10.2014 23:59:18  41938,99952 0,00 4 Test4
26.10.2014 23:59:20  41938,99955 0,00 4 Test4
26.10.2014 23:59:22  41938,99957 0,00 4 Test4
26.10.2014 23:59:24  41938,99958 0,00 4 Test4
26.10.2014 23:59:26  41938,99961 0,00 4 Test4
26.10.2014 23:59:28  41938,99963 0,00 4 Test4
26.10.2014 23:59:30  41938,99966 0,00 4 Test4
26.10.2014 23:59:32  41938,99968 0,00 4 Test4
26.10.2014 23:59:34  41938,99970 0,00 4 Test4
26.10.2014 23:59:36  41938,99973 0,00 4 Test4
26.10.2014 23:59:38  41938,99975 0,00 4 Test4
26.10.2014 23:59:40  41938,99978 0,00 4 Test4
26.10.2014 23:59:42  41938,99980 0,00 4 Test4
26.10.2014 23:59:44  41938,99982 0,00 4 Test4
26.10.2014 23:59:46  41938,99985 0,00 4 Test4
26.10.2014 23:59:48  41938,99987 0,00 4 Test4
26.10.2014 23:59:50  41938,99990 0,00 4 Test4
26.10.2014 23:59:52  41938,99992 0,00 4 Test4
26.10.2014 23:59:54  41938,99993 0,00 4 Test4
26.10.2014 23:59:56  41938,99996 0,00 4 Test4
26.10.2014 23:59:58  41938,99998 0,00 4 Test4
27.10.2014 0:00:00  41939,00000 0,00 4 Test4
